GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO7E001,AUO7E002,AUO7E003,AUO7E004,AUO7E005,AUO7E006,AUO7E007,AUO7E008,AUO7E009,AUO7E010
G3400010000100,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,000100,,,,,,,,,,,,,,,,,,,,,,,1400000US34001000100,,,34001000100,"Census Tract 1, Atlantic County, New Jersey",2380,685,73,18,1057,0,118,429,393,36
G3400010000200,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,000200,,,,,,,,,,,,,,,,,,,,,,,1400000US34001000200,,,34001000200,"Census Tract 2, Atlantic County, New Jersey",3009,1340,65,0,684,0,858,62,0,62
G3400010000300,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,000300,,,,,,,,,,,,,,,,,,,,,,,1400000US34001000300,,,34001000300,"Census Tract 3, Atlantic County, New Jersey",4064,333,365,0,1309,0,1377,680,540,140
G3400010000400,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,000400,,,,,,,,,,,,,,,,,,,,,,,1400000US34001000400,,,34001000400,"Census Tract 4, Atlantic County, New Jersey",3496,1599,286,0,568,0,656,387,212,175
G3400010000500,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,000500,,,,,,,,,,,,,,,,,,,,,,,1400000US34001000500,,,34001000500,"Census Tract 5, Atlantic County, New Jersey",2944,515,176,64,918,0,916,355,169,186
G3400010001100,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,001100,,,,,,,,,,,,,,,,,,,,,,,1400000US34001001100,,,34001001100,"Census Tract 11, Atlantic County, New Jersey",1652,112,1193,0,264,0,37,46,11,35
G3400010001200,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,001200,,,,,,,,,,,,,,,,,,,,,,,1400000US34001001200,,,34001001200,"Census Tract 12, Atlantic County, New Jersey",2769,247,1849,132,105,0,149,287,271,16
G3400010001300,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,001300,,,,,,,,,,,,,,,,,,,,,,,1400000US34001001300,,,34001001300,"Census Tract 13, Atlantic County, New Jersey",2105,112,1243,1,0,0,606,143,28,115
G3400010001400,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,001400,,,,,,,,,,,,,,,,,,,,,,,1400000US34001001400,,,34001001400,"Census Tract 14, Atlantic County, New Jersey",3497,519,888,33,1,0,771,1285,906,379
G3400010001500,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,001500,,,,,,,,,,,,,,,,,,,,,,,1400000US34001001500,,,34001001500,"Census Tract 15, Atlantic County, New Jersey",1728,125,1151,0,69,0,182,201,42,159
G3400010001900,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,001900,,,,,,,,,,,,,,,,,,,,,,,1400000US34001001900,,,34001001900,"Census Tract 19, Atlantic County, New Jersey",1681,500,841,77,38,0,126,99,54,45
G3400010002300,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,002300,,,,,,,,,,,,,,,,,,,,,,,1400000US34001002300,,,34001002300,"Census Tract 23, Atlantic County, New Jersey",2714,231,222,285,695,0,1102,179,50,129
G3400010002400,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,002400,,,,,,,,,,,,,,,,,,,,,,,1400000US34001002400,,,34001002400,"Census Tract 24, Atlantic County, New Jersey",2364,453,794,117,150,0,573,277,268,9
G3400010002500,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,002500,,,,,,,,,,,,,,,,,,,,,,,1400000US34001002500,,,34001002500,"Census Tract 25, Atlantic County, New Jersey",4229,876,2462,0,138,0,273,480,408,72
G3400010010101,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010101,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010101,,,34001010101,"Census Tract 101.01, Atlantic County, New Jersey",3186,2778,2,0,134,0,14,258,240,18
G3400010010102,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010102,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010102,,,34001010102,"Census Tract 101.02, Atlantic County, New Jersey",1535,1405,20,0,39,0,0,71,71,0
G3400010010104,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010104,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010104,,,34001010104,"Census Tract 101.04, Atlantic County, New Jersey",1257,1168,40,0,27,0,6,16,6,10
G3400010010105,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010105,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010105,,,34001010105,"Census Tract 101.05, Atlantic County, New Jersey",1696,1191,50,0,275,0,110,70,56,14
G3400010010200,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010200,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010200,,,34001010200,"Census Tract 102, Atlantic County, New Jersey",6627,5479,569,103,99,0,65,312,223,89
G3400010010300,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010300,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010300,,,34001010300,"Census Tract 103, Atlantic County, New Jersey",2543,928,423,0,467,0,262,463,377,86
G3400010010401,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010401,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010401,,,34001010401,"Census Tract 104.01, Atlantic County, New Jersey",5251,4587,349,0,39,0,80,196,61,135
G3400010010403,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010403,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010403,,,34001010403,"Census Tract 104.03, Atlantic County, New Jersey",7971,3282,783,0,2090,0,564,1252,644,608
G3400010010501,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010501,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010501,,,34001010501,"Census Tract 105.01, Atlantic County, New Jersey",7995,6978,143,12,67,0,143,652,416,236
G3400010010503,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010503,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010503,,,34001010503,"Census Tract 105.03, Atlantic County, New Jersey",7026,3282,1413,55,730,0,1012,534,411,123
G3400010010505,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010505,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010505,,,34001010505,"Census Tract 105.05, Atlantic County, New Jersey",3157,2483,11,9,117,0,177,360,326,34
G3400010010506,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010506,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010506,,,34001010506,"Census Tract 105.06, Atlantic County, New Jersey",5015,4104,90,36,274,0,129,382,205,177
G3400010010600,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010600,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010600,,,34001010600,"Census Tract 106, Atlantic County, New Jersey",4400,1693,1499,11,23,0,355,819,379,440
G3400010010700,2020-2024,NJ,,,New Jersey,34,Atlantic County,001,,,010700,,,,,,,,,,,,,,,,,,,,,,,1400000US34001010700,,,34001010700,"Census Tract 107, Atlantic County, New Jersey",5832,4876,375,0,0,0,194,387,320,67
